CUI,Hnum,DB_ref,refcode,disease,description,category,pathways,gene,pathogen,Env-factor,carcinogen,marker,drug,comment,other_DB
C0002390,H00346,MeSH,D000542,"""Extrinsic allergic alveolitis (EAA), Hypersensitivity pneumonitis""","""Extrinsic allergic alveolitis (EAA), also known as hypersensitivity pneumonitis, is caused by repeated inhalation of mainly organic antigens by sensitized subjects. This induces a hypersensitivity response in the distal bronchioles and alveoli and subjects may present clinically with a variety of symptoms. EAA is caused by a wide variety of antigens including bacteria, organic materials, fungal spores, and chemicals. Of the various EAA syndromes, Farmer's lung and Bird fancier's disease are the commonest forms that have been studied. EEA is a complex dynamic clinical syndrome where clinical expression depends on the frequency and amount of contact with antigen and host susceptibility. The manifestations and symptoms can be complicated by self-regulatory measures performed by those affected individuals to reduce antigen exposure. There are many individuals with a positive antibody reaction who remain asymptomatic. EEA traditionally has been described as occurring in a state of acute, subacute, and chronic form.""",Immune system disease; Respiratory disease; Infectious disease,,,,"""Thermophilic actinomycetes (Farmer's lung), Saccharopolyspora rectivirgula (Micropolyspora faeni) (",,,Prednisone [DG:DG00094],,"""ICD-10: J67, MeSH: D000542, MedlinePlus: 000109"""
C0002395,H00056,MeSH,D000544,Alzheimer's disease (AD),"""Alzheimer's disease (AD) is a chronic disorder that slowly destroys neurons and causes serious cognitive disability. AD is associated with senile plaques and neurofibrillary tangles (NFTs). Amyloid-beta (Abeta), a major component of senile plaques, has various pathological effects on cell and organelle function. The extracellular Abeta oligomers may activate caspases through activation of cell surface death receptors. Alternatively, intracellular Abeta may contribute to pathology by facilitating tau hyper-phosphorylation, disrupting mitochondria function, and triggering calcium dysfunction. To date genetic studies have revealed four genes that may be linked to autosomal dominant or familial early onset AD (FAD). These four genes include: amyloid precursor protein (APP), presenilin 1 (PS1), presenilin 2 (PS2) and apolipoprotein E (ApoE). All mutations associated with APP and PS proteins can lead to an increase in the production of Abeta peptides, specfically the more amyloidogenic form, Abeta42. FAD-linked PS1 mutation downregulates the unfolded protein response and leads to vulnerability to ER stress.""",Neurodegenerative disease,,"""(AD1) APP; amyloid beta (A4) protein (mutation) [HSA:351] [KO:K04520], (AD2) APOE; apolipoprotein E (mutation) [HSA:348] [KO:K04524], (AD3) PSEN1; presenilin 1 (mutation) [HSA:5663] [KO:K04505], (AD4) PSEN2; presenilin 2 (mutation) [HSA:5664] [KO:K04522]""",,,,N-acetylaspartate (reduction),"""Donepezil [DG:DG00983] acetylcholinesterase (AChE) inhibitor, Galantamine [DG:DG00985] acetylcholinesterase (AChE) inhibitor, Rivastigmine [DG:DG00984] acetylcholinesterase (AChE) inhibitor, Memantine [DG:DG00986] NMDA receptor antagonist""","""Disease class: tauopathy, Affected region: hippocampus, cerebral cortex, Microscopic lesion: amyloid plaques, neurofibrillary tangles, Lewy bodies (seen in Lewy body variant)""","""ICD-10: G30, MeSH: D000544, OMIM: 104300 104310 607822 606889"""
C0002438,H00360,MeSH,D000562,Amoebiasis,"""Amoebiasis is the infection of gastrointestinal tract that affects approximately 50 million people each year and is responsible for 40 to 100 thousand deaths. People living in Central and South America and Africa are at highest risk of infection. Ingestion of water and food contaminated with Entamoeba histolytica, an extracellular parasitic amoeba, causes amoebic colitis and amoebic liver abscess. Amoebic colitis is characterized by devastating dysentery that usually contains blood. Entamoeba histolytica is a human-specific pathogen.""",Infectious disease,,,  Entamoeba histolytica [GN:ehi],,,,Erythromycin [DG:DG00436],,"""ICD-10: A06, MeSH: D000562, MedlinePlus: 000298"""
C0002445,H00360,MeSH,D000562,Amoebiasis,"""Amoebiasis is the infection of gastrointestinal tract that affects approximately 50 million people each year and is responsible for 40 to 100 thousand deaths. People living in Central and South America and Africa are at highest risk of infection. Ingestion of water and food contaminated with Entamoeba histolytica, an extracellular parasitic amoeba, causes amoebic colitis and amoebic liver abscess. Amoebic colitis is characterized by devastating dysentery that usually contains blood. Entamoeba histolytica is a human-specific pathogen.""",Infectious disease,,,  Entamoeba histolytica [GN:ehi],,,,Erythromycin [DG:DG00436],,"""ICD-10: A06, MeSH: D000562, MedlinePlus: 000298"""
C0002447,H00979,MeSH,D004480,Caudal regression syndrome and Sirenomelia,"""Caudal dysgenesis and sirenomelia are rare malformations that represent a spectrum of caudal anomalies. Clinical findings include varying degrees of agenesis of the vertebral column (usually sacral or lumbosacral spine), as well as anorectal and genitourinary anomalies. The most severe end of this spectrum is known as sirenomelia that is characterized by fused lower limbs. These are caused by developmental field defects of blastogenesis involving the caudal mesoderm and usually sporadic.""",Developmental disorder; Nervous system disease,,VANGL1 [HSA:81839] [KO:K04510],,Maternal diabetes,,,,"""Spina bifida, a neural tube defect, is described in H00262.""","""ICD-10: Q76.0, MeSH: D004480, OMIM: 600145"""
C0002452,H00615,MeSH,D000567,Amelogenesis imperfecta,Amelogenesis imperfecta represents a heterogeneous group of inherited disorders characterized by very thin dental enamel. Defects in mineralization or matrix formation during tooth development lead to enamel hypoplasia and/or hypomineralization. Mutations in several tooth-specific genes are associated with the disease.,Mouth and dental disease,,"""(AI1A) LAMB3 [HSA:3914] [KO:K06244], (AI1B/C) ENAM [HSA:10117], (AI1E) AMELX [HSA:265], (AI1F) AMBN [HSA:258], (AI1G) FAM20A [HSA:54757] [KO:K21957], (AI1H) ITGB6 [HSA:3694] [KO:K06589], (AI1J) ACPT [HSA:93650] [KO:K19284], (AI2A1) KLK4 [HSA:9622] [KO:K08666], (AI2A2) MMP20 [HSA:9313] [KO:K07999], (AI2A3) WDR72 [HSA:256764], (AI2A4) C4orf26 [HSA:152816], (AI2A5) SLC24A4 [HSA:123041] [KO:K13752], (AI2A6) GPR68 [HSA:8111] [KO:K08408], (AI3) FAM83H [HSA:286077]""",,,,,,See also H00618 Amelogenesis imperfecta hypoplastic-hypomaturation with taurodontism.,"""ICD-10: K00.5, MeSH: D000567, OMIM: 104530 104500 204650 301200 616270 204690 616221 617297 204700 612529 613211 614832 615887 617217 130900"""
C0002514,H01386,MeSH,D000592,Asparagine synthetase deficiency,"""Asparagine synthetase deficiency is an autosomal recessive disorder characterized by congenital microcephaly, intellectual disability, progressive cerebral atrophy, and intractable seizures. Recessive mutations in the ASNS gene, encoding asparagine synthetase which catalyzes the synthesis of asparagine from glutamine and aspartate, are responsible for this syndrome.""",Inherited metabolic disease; Nervous system disease,,ASNS [HSA:440] [KO:K01953],,,,,,,"""ICD-10: E72.0, MeSH: D000592, OMIM: 615574"""
C0002736,H00058,MeSH,D000690,"""Amyotrophic lateral sclerosis (ALS), Lou Gehrig's disease""","""Amyotrophic lateral sclerosis (ALS) is a progressive, lethal, degenerative disorder of motor neurons. The hallmark of this disease is the selective death of motor neurons in the brain and spinal cord, leading to paralysis of voluntary muscles. Mutant superoxide dismutase 1 (SOD1), as seen in some familial ALS (FALS) cases, is unstable, forming aggregates in the motor neuron cytoplasm, axoplasm and mitochondria. Within mitochondria, mutant SOD1 may interfere with the anti-apoptotic function of Bcl-2, affect mitochondrial import by interfering with the translocation machinery (TOM/TIM), and generate toxic free radicals (ROS). Reactive oxygen species (ROS), produced within mitochondria, inhibit the function of EAAT2, the main glial glutamate transporter protein, responsible for most of the reuptake of synaptically released glutamate. Glutamate excess increases intracellular calcium, which enhances oxidative stress and mitochondrial damage. Mutant SOD1 can also trigger oxidative reactions , which can then cause damage through the formation of hydroxyl radicals or via nitration of tyrosine residues on proteins. Nitration may target neurofilament proteins, affecting axonal transport. Collectively, these mechanisms are predicted to disturb cellular homeostasis, ultimately triggering motor neuron death.""",Neurodegenerative disease,,"""(ALS1) SOD1; superoxide dismutase (mutation) [HSA:6647] [KO:K04565], (ALS1) NEFH; neurofilament (deletion/insertion) [HSA:4744] [KO:K04574], (ALS1) PRPH; peripherin (deletion) [HSA:5630] [KO:K07607], (ALS1) DCTN1; dynactin 1 (mutation) [HSA:1639] [KO:K04648], (ALS2) ALS2; alsin (mutation) [HSA:57679] [KO:K04575], (ALS4) SETX; senataxin (mutation) [HSA:23064] [KO:K10706], (ALS6) FUS; fusion (mutation) [HSA:2521] [KO:K13098], (ALS8) VAPB; VAMP-associated protein (mutation) [HSA:9217] [KO:K10707],",,,,,Riluzole [DR:D00775] glutamate release inhibitor,"""Affected region: motor cortex, brain stem, spinal cord, Microscopic lesion: hyaline inclusions""","""ICD-10: G12.2, MeSH: D000690, OMIM: 105400 205100 602433 608030 608627 611895 612069 612577 613435 613954 300857 614373 614696 614808 615515 615426 606070 616208 615911 105500"""
C0002736,H00059,MeSH,D000690,Huntington's disease (HD),"""Huntington disease (HD) is an autosomal-dominant neurodegenerative disorder that primarily affects medium spiny striatal neurons (MSN). The symptoms are choreiform, involuntary movements, personality changes and dementia. HD is caused by a CAG repeat expansion in the IT15gene, which results in a long stretch of polyglutamine close to the amino-terminus of the HD protein huntingtin (Htt). Mutant Htt (mHtt) has effects both in the cytoplasm and in the nucleus. In the cytoplasm, full-length mHtt can interfere with BDNF vesicular transport on microtubules. This mutant protein also may lead to abnormal endocytosis and secretion in neurons, because normal Htt form a complex with the proteins Hip1, clathrin and AP2 that are involved in endocytosis. In addition, mHtt affects Ca2+ signaling by sensitizing InsP3R1 to activation by InsP3, stimulating NMDAR activity, and destabilizing mitochondrial Ca2+ handling. The mHtt translocates to the nucleus, where it forms intranuclear inclusions. Nuclear toxicity is believed to be caused by interference with gene transcription, leading to loss of transcription of neuroprotective molecules such as BDNF. While mHtt binds to p53 and upregulates levels of nuclear p53 as well as p53 transcriptional activity. Augmented p53 mediates mitochondrial dysfunction.""",Neurodegenerative disease,,HTT; huntingtin (CAG repeat expansion) [HSA:3064] [KO:K04533],,,,,Tiagabine [DG:DG00850],"""Disease class: polyglutamine disease, Affected region: caudate nucleus, globus pallidus, thalamus, hippocampus, Microscopic lesion: neuronal intranuclear inclusions""","""ICD-10: G10, MeSH: D000690, OMIM: 143100"""
C0002768,H00774,MeSH,D000699,Nav1.7-associated congenital insensitivity to pain (CIP),"""Nav1.7-associated congenital insensitivity to pain (CIP) is a pure form of CIP affecting only pain sensation and olfaction. A loss-of-function of the SCN9A, the gene encoding Nav1.7, can produce CIP. Patients with Nav1.7-related CIP present with a history of not ever experiencing any pain even after burns, bone fractures, lip- and tongue-biting, and they do not experience visceral pain. Additionally, patients with Nav1.7-related CIP do not show apparent sympathetic dysfunction and have a normal axon reflex response to histamine. Homozygous and compound null mutations in SCN9A are predicted to truncate the channel protein, resulting in loss-of-function mutations in Nav1.7 and the complete loss of Nav1.7 current in all of the neurons in which this channel is expressed.""",Nervous system disease,,SCN9A [HSA:6335] [KO:K04841],,,,,,,"""ICD-10: G60.8, MeSH: D000699, OMIM: 243000"""
C0002792,H01359,MeSH,D000707,Anaphylaxis,"""Anaphylaxis is a severe, life-threatening, systemic allergic reaction that is almost always unanticipated and may lead to death by airway obstruction or vascular collapse. Anaphylaxis can be triggered by a broad range of triggers. Food is the commonest trigger in children and drugs the commonest in adults. In addition to the environmental influences, studies suggest that a complex of genes affects the anaphylactic response. Anaphylaxis occurs as the result of an allergen response, usually immunoglobulin E-mediated, which leads to mast cell and basophil activation and a combination of dermatologic, respiratory, cardiovascular, gastrointestinal, and neurologic symptoms.""",Immune system disease,,"""c-KIT (mutation) [HSA:3815] [KO:K05091], NLRP3 (polymorphism) [HSA:114548] [KO:K12800], IL-10 (polymorphism) [HSA:3586] [KO:K05443]""",,"""Milk, Egg, Fish, Peanut, Tree nut, Sesame, Shellfish, Food additives, Penicillin [DR:D05411], Cepha",,,"""Epinephrine [DG:DG00013], Albuterol [DR:D02147], Diphenhydramine [DG:DG00390], Ranitidine [DG:DG00018], Prednisone [DG:DG00094], Methylprednisolone [DG:DG00410]""",,"MeSH: D000707"
C0002797,H01139,MeSH,D000712,Human granulocytic anaplasmosis,"""Human granulocytic anaplasmosis (HGA), previously known as human granulocytic ehrlichiosis (HGE), is a tick-borne infection caused by Anaplasma phagocytophilum. It results in symptoms ranging mild febrile illness to severe disease characterized by an acute, influenza-like illness in older individuals and immunocompromised patients.""",Infectious disease,,,  Anaplasma phagocytophilum [GN:aph],,,msp2/p44 (PCR detection) [aph:APH_1354],Doxycycline [DG:DG00008],Vector: Ixodes persulcatus,"MeSH: D000712"
